laptop_ID,Inches,Ram,Weight,Price_euros,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Screen Width,Screen Height,CPU Frequency,Memory Amount,Memory Type,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,AMD_CPU,Intel_CPU,Samsung_CPU,AMD_GPU,ARM_GPU,Intel_GPU,Nvidia_GPU
29,15.6,8,1.88,1298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1920,1080,1.9,256000,SSD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
30,17.3,8,2.5,896,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.6,1000000,HDD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
31,15.6,4,1.89,244.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.44,64000,Flash,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
32,14,2,1.65,199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,1.5,32000,Flash,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
33,17.3,4,2.71,439,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.5,500000,HDD,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
34,13.3,16,1.2,1869,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3200,1800,1.8,512000,SSD,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
35,13.3,8,1.35,998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1440,900,1.6,256000,Flash,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
36,14,4,1.44,249,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,1.1,64000,Flash,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
37,15.6,4,2.1,367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,2.7,1000000,HDD,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
38,17.3,8,2.8,979,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.6,128000,SSD,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
